pl_name,pl_masse,ra,dec
"Kepler-1371 b",,288.8314251,47.5519753
"Kepler-249 b",,296.9853002,43.6586043
"Kepler-229 b",,286.9994758,48.3757867
"Kepler-1471 b",,289.6649171,50.0200612
"Kepler-1443 b",,283.4357392,47.0667983
"Kepler-538 b",,297.4865503,49.6233975
"Kepler-840 b",,296.5073737,49.4572313
"Kepler-1631 b",,294.6325781,43.8076687
"Kepler-1217 b",,289.1866841,50.9375614
"Kepler-980 b",,294.6129869,45.0601740
"Kepler-569 b",,283.5072190,48.5526330
"Kepler-414 b",,297.9615616,48.2443363
"Kepler-286 e",,290.6761874,48.2942362
"Kepler-331 c",,291.8343455,39.3073462
"Kepler-333 b",,292.2861201,40.9135429
"Kepler-123 b",,296.9985853,42.7819633
"Kepler-1089 b",,291.0926509,49.1901729
"Kepler-130 c",,288.4505905,40.2452006
"Kepler-138 b",,290.3814122,43.2930645
"Kepler-1141 b",,290.5436836,47.7259073
"Kepler-760 c",,287.5931997,44.1794278
"Kepler-271 c",,283.0029316,44.2841080
"Kepler-306 c",,288.5387145,40.6160545
"Kepler-154 c",,289.7805393,49.8965624
"Kepler-620 b",,291.1593939,51.3348228
"Kepler-903 b",,288.7710137,40.6641771
"Kepler-411 c",,287.6057027,49.5233937
"Kepler-475 b",,287.0516940,40.2114232
"Kepler-283 c",,293.6137413,47.8389380
"Kepler-151 b",,292.1627933,41.0231947
"Kepler-849 b",,290.8517961,48.5213243
"Kepler-143 b",,298.0676519,49.4125410
"Kepler-593 b",,294.9513923,48.6511709
"Kepler-365 b",,295.6265640,49.1304110
"Kepler-197 e",,295.2264739,50.5592348
"Kepler-481 b",,291.9069862,49.2620760
"HR 5183 b",,206.7357992,6.3498994
"Kepler-707 b",,290.0075640,42.1164698
"Kepler-119 b",,295.9463854,42.6588324
"Kepler-120 b",,287.8915707,39.3390979
"Kepler-1016 c",,294.6136890,45.9846265
"nu Oph c",7838.32346,269.7566013,-9.7741342
"GJ 180 c",,73.4600970,-17.7761940
"HAT-P-12 b",63.88383,209.3886452,43.4933100
"HAT-P-32 b",,31.0427614,46.6878512
"HAT-P-16 b",1332.66119,9.5730343,42.4630961
"Kepler-80 e",,296.1125759,39.9787451
"Kepler-856 b",,289.6038379,46.3149097
"Kepler-1120 b",,290.9144516,42.2865522
"Kepler-91 b",,285.6729033,44.1167513
"Kepler-317 b",,294.9438822,39.0320499
"Kepler-957 b",,290.1563633,48.8189710
"Kepler-724 b",,293.4548441,44.7927823
"Kepler-265 c",,290.5104788,41.2447430
"Kepler-612 b",,291.3546278,45.7478551
"Kepler-94 b",,281.1947316,47.4972606
"Kepler-201 b",,293.6260590,41.2728004
"HD 110113 b",,190.0365636,-44.3120777
"GJ 1132 b",1.63000,153.7090696,-47.1549358
"Kepler-251 e",,296.5662171,44.1058077
"Kepler-1223 b",,285.2956462,44.5527542
"Kepler-1143 b",,287.3027720,39.2896399
"Kepler-233 b",,296.3665054,51.3194548
"Kepler-596 b",,289.5006797,51.6857106
"Kepler-246 b",,296.4834007,42.6633806
"Kepler-1517 b",,287.8072115,43.1888008
"Kepler-334 c",,287.1406177,47.1151153
"Kepler-1362 b",,288.5385574,40.8771276
"Kepler-8 b",,281.2881335,42.4510975
"Kepler-166 b",,293.1600977,48.8812074
"Kepler-712 b",,294.9096739,42.9351987
"Kepler-99 b",,297.3539994,41.3000452
"Kepler-642 b",,293.8345542,42.6249480
"Kepler-675 b",,293.8334488,50.2303479
"Kepler-244 b",,287.2426410,42.3014185
"Kepler-141 c",,297.9707271,47.7316041
"Kepler-142 b",,295.1190067,48.4813635
"Kepler-1650 b",,297.7292296,42.8666919
"Kepler-825 b",,294.7698250,39.3984081
"Kepler-152 c",,286.8653826,41.9889571
"Kepler-995 b",,284.6157154,39.1309980
"Kepler-494 b",,297.2140408,41.6640071
"Kepler-996 b",,291.9127633,41.5335891
"Kepler-836 b",,287.4527659,45.7043964
"Kepler-178 d",,287.1010275,46.8964033
"Kepler-277 b",,286.5831894,39.0772582
"Kepler-242 c",,286.5656932,41.8084168
"Kepler-65 b",,288.6887221,41.1511076
"Kepler-328 c",,295.8092756,40.0084866
"Kepler-1206 b",,295.9383737,49.7911337
"Kepler-1324 b",,291.1849503,40.3112023
"Kepler-1169 b",,294.9115874,46.4914718
"Kepler-305 e",,299.2242557,40.3431670
"Kepler-1174 b",,281.8314296,42.2988910
"51 Eri b",635.66000,69.4007424,-2.4738245
"CoRoT-18 b",1048.83900,98.1724172,-0.0316045
"GJ 143 b",30.63000,51.7501882,-63.5001660
"WASP-1 b",291.76794,5.1669536,31.9899732
"HD 23472 c",17.18000,55.4590314,-62.7672667
"HAT-P-11 b",24.02795,297.7101763,48.0818635
"HAT-P-18 b",58.16289,256.3463760,33.0123251
"HAT-P-12 b",66.39469,209.3886452,43.4933100
"HAT-P-4 b",203.09337,229.9912200,36.2295450
"HAT-P-14 b",736.09428,260.1161719,38.2421682
"K2-21 c",,340.3037846,-14.4893256
"Kepler-268 b",,291.9761559,38.0550327
"TOI-1444 b",,305.4749252,70.9437054
"Kepler-177 c",7.50000,286.0471442,45.0532038
"Kepler-177 c",,286.0471442,45.0532038
"BD+45 564 b",,32.9470485,45.9242187
"HD 331093 b",,295.6200054,31.7395451
"Kepler-542 b",,292.2149697,38.5485469
"HAT-P-7 b",,292.2471900,47.9695429
"Kepler-228 b",,296.2860853,48.2246328
"WASP-21 b",94.39551,347.4928024,18.3961597
"Kepler-896 b",,282.4391402,43.7344291
"Qatar-3 b",1369.84730,359.1519716,36.2129562
"Kepler-154 f",,289.7805393,49.8965624
"WASP-1 b",251.08570,5.1669536,31.9899732
"Kepler-29 c",,298.3483820,47.4913021
"Kepler-920 c",,284.2969363,49.1585983
