pl_name,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,sy_dist
"Kepler-1364 b",1,1,0,12.96444,82.39110,13.32180036,,1056.9000000
"Kepler-1458 b",1,1,0,17.17283,70.79731,,2.796,544.4500000
"K2-126 b",1,1,0,47.99348,318.55860,7.38706600,1.795,102.9530000
"WASP-71 b",1,1,0,-57.95664,155.08853,2.90367000,13.227,362.7150000
"HD 102272 b",1,1,0,70.02217,250.29360,127.58000000,,347.0970000
"HD 108874 b",1,2,0,83.62475,253.57668,394.48123000,,59.5175000
"HD 141937 b",1,1,0,26.78098,351.88911,653.21997000,,33.3622000
"HD 142022 A b",2,1,0,-23.31633,307.71909,1928.00000000,,34.2802000
"HD 149143 b",1,1,0,31.48148,17.51640,4.07200000,,73.2801000
"HD 190647 b",1,1,0,-30.03255,5.66045,1038.09998000,,54.4738000
"HD 204313 b",1,2,0,-43.72860,28.02639,1920.09998000,,47.7945000
"HD 20782 b",2,5,0,-57.27708,224.80293,591.90002000,,35.9864000
"HD 290327 b",1,1,0,-20.58136,204.61308,2443.00000000,,56.4330000
"HD 30856 b",2,1,0,-36.65384,224.27222,912.00000000,,131.1990000
"HD 330075 b",1,1,0,3.37645,329.80573,3.38773000,,45.2989000
"HD 4308 b",1,1,0,-51.46078,304.05288,15.56000000,,22.0158000
"HD 92788 b",1,2,0,47.35154,251.20809,325.81000000,,34.6538000
"HD 5608 b",1,1,0,-28.89990,124.54264,792.59998000,,58.1105000
"HD 11755 b",1,1,0,10.92581,127.83989,433.70001000,,235.0450000
"Kepler-263 b",1,2,0,9.22104,70.58352,,2.583,754.7470000
"K2-261 b",1,1,0,50.89463,250.88317,11.63344000,9.528,213.2830000
"Kepler-1333 b",1,1,0,10.11879,74.15853,,3.134,932.4460000
"Kepler-1575 b",1,1,0,12.09016,78.45373,,1.328,1246.9200000
"HD 125612 b",2,3,0,40.39538,331.38949,557.04000000,,57.6207000
"HD 219828 b",1,2,0,-39.01348,94.26579,3.83492000,,73.1140000
"K2-123 b",1,1,0,36.91396,205.51379,30.95152400,2.760,161.5550000
"WASP-173 A b",2,1,0,-72.33626,3.29979,1.38665318,13.451,232.9800000
"OGLE-2011-BLG-0173L b",1,1,0,-1.83872,1.90945,,,6100.0000000
"KMT-2016-BLG-1397L b",1,1,0,-2.79425,6.32391,,,
"HD 37605 c",1,2,0,-12.89566,199.10550,2455.00000000,,46.7864000
"HD 30856 b",2,1,0,-36.65384,224.27222,847.00000000,,131.1990000
"HD 38529 b",2,2,0,-13.83753,204.31771,14.30944000,,42.3538000
"70 Vir b",1,1,0,74.09910,337.65749,116.68800000,,17.9011000
"HD 96167 b",2,1,0,44.57834,264.80833,498.04000000,,85.3006000
"HD 48265 b",1,1,0,-21.78048,257.52693,762.00000000,,90.5446000
"HD 111232 b",1,1,0,-5.55411,302.69417,1118.00000000,,28.9571000
"Kepler-1402 b",1,1,0,14.63665,80.85211,,1.626,1493.6400000
"Kepler-1243 b",1,1,0,10.61295,75.92365,,1.528,758.1700000
"Kepler-1244 b",1,1,0,19.68291,75.97691,,1.925,1075.8100000
"Kepler-1249 b",1,1,0,9.47328,78.25844,,2.672,1904.5400000
"Kepler-1312 b",1,1,0,10.45737,73.89554,,2.158,299.1040000
"Kepler-582 b",1,1,0,7.45973,75.55812,18.49235430,,613.1790000
"Kepler-200 b",1,2,0,16.40754,71.33871,8.59490775,,665.9120000
"Kepler-699 b",1,1,0,8.02966,75.62569,27.80756519,,2089.7000000
"Kepler-170 b",1,2,0,16.47671,71.75047,7.93057525,,738.6570000
"Kepler-1180 b",1,1,0,9.52805,76.82303,16.85976251,,1596.8000000
"Kepler-33 b",1,5,0,15.13411,77.26281,5.66802472,,1209.1600000
"Kepler-116 c",1,2,0,10.44221,76.76629,13.07161083,,955.1680000
"Kepler-1115 b",1,1,0,8.68466,73.81762,23.55401645,,983.2450000
"HD 98649 b",1,1,0,35.10611,277.30480,6022.97250000,,42.1727000
"Kepler-109 b",1,2,0,11.87795,72.32578,6.48163077,,474.8610000
"Kepler-145 c",1,2,0,13.04277,76.57260,42.88250524,,566.8500000
"Kepler-248 b",1,2,0,11.54633,76.24058,6.30821006,,738.7920000
"Kepler-586 b",1,1,0,12.42579,78.04243,2.10472072,,693.7660000
"Kepler-1582 b",1,1,0,12.94693,72.79808,4.83814930,,78.8906000
"Kepler-1218 b",1,1,0,12.92087,76.63511,22.92295825,,840.5030000
"HD 103949 b",1,1,0,37.35505,287.57862,120.87800000,,26.4997000
"HD 24085 b",1,1,0,-40.50147,284.95295,2.04550000,,54.9004000
"DE CVn b",2,1,0,70.27803,104.28761,4098.10000000,,30.5225000
"WASP-166 b",1,1,0,23.13623,253.96174,5.44354000,7.062,114.1730000
"HAT-P-69 b",1,1,0,26.20647,222.78554,4.78694910,18.786,341.2630000
"HAT-P-25 b",1,1,0,-27.44257,159.31431,3.65281514,12.722,300.3840000
"HD 20003 b",1,2,0,-41.17624,289.87654,11.84820000,,41.8316000
"HD 45184 b",1,2,0,-18.07374,236.62565,5.88540000,,21.9532000
"WASP-190 b",1,1,0,-75.89807,319.18229,5.36775300,12.890,542.2510000
"Kepler-215 c",1,4,0,11.07277,78.35687,14.66722395,,485.9970000
"Kepler-693 b",2,1,0,16.89476,70.14768,15.37587100,9.600,1151.5100000
"Kepler-238 c",1,5,0,13.74892,71.83506,6.15554100,1.700,1798.7500000
"Kepler-243 b",1,2,0,16.22140,72.31271,5.71543000,2.060,693.8600000
"Kepler-712 c",1,2,0,10.05381,76.28323,226.88970000,4.410,872.4930000
"Kepler-731 b",1,1,0,10.35870,79.15173,3.85560240,11.100,1257.1600000
"Kepler-6 b",1,1,0,11.35940,81.69270,3.23469955,11.070,587.0390000
"Kepler-1243 b",1,1,0,10.61295,75.92365,16.83206950,,758.1700000
"Kepler-246 c",1,2,0,8.90874,76.59735,11.18737033,,626.0780000
"Kepler-345 b",1,2,0,11.26477,79.12551,7.41557347,,
"Kepler-1288 b",1,1,0,15.64284,72.07908,2.76102525,,814.0780000
"Kepler-1302 b",1,1,0,15.69368,81.88152,8.83911087,,634.5800000
"WASP-127 b",2,1,0,46.06148,252.72353,4.17806203,14.695,159.5070000
"GJ 229 A c",2,2,0,-18.44091,228.61506,121.99500000,,5.7562400
"HD 158259 d",1,5,0,34.09023,80.13841,5.19808140,,27.0498000
"Kepler-1649 c",1,2,0,11.12886,74.45609,19.53527000,1.060,92.1913000
"Kepler-1678 b",1,1,0,9.51620,71.37765,147.97400000,3.304,847.3390000
"Kepler-129 c",1,2,0,18.21023,78.03530,82.19970000,2.040,408.8450000
"Kepler-963 b",1,1,0,9.88428,78.80407,9.97683705,2.890,771.4940000
"Kepler-1363 b",1,1,0,11.74736,82.65749,2.94194094,1.290,541.7140000
"Kepler-589 b",1,1,0,21.14301,76.85046,16.54964934,2.520,612.8030000
"OGLE-2017-BLG-1375L b",1,1,0,-2.75739,0.03925,,,
"HD 86226 b",1,2,0,23.62895,259.39432,1534.00000000,,45.6830000
"Kepler-515 b",2,1,0,16.67180,83.42371,19.96359000,1.430,
"Kepler-534 b",1,1,0,12.21263,82.73358,15.95994600,2.360,570.6590000
"Kepler-163 b",1,2,0,11.87083,79.97327,7.81101000,1.040,689.8140000
"Kepler-1054 b",1,1,0,13.56194,76.35333,4.30655689,1.990,1090.5100000
"Kepler-1095 b",1,1,0,10.41212,74.29503,4.27103091,1.240,792.5220000
"Kepler-1104 b",1,1,0,13.24667,81.95110,5.03728015,1.070,530.6580000
"Kepler-1112 b",1,1,0,11.05005,81.29698,14.36267939,2.550,1671.2800000
"Kepler-1144 b",1,1,0,15.03123,78.72691,17.14647302,1.810,1140.5700000
"Kepler-435 b",1,1,0,11.87922,75.63372,8.60015330,7.470,1418.7700000
"Kepler-1158 b",1,1,0,11.19477,74.13226,13.53962930,1.550,1484.2500000
"Kepler-379 b",1,2,0,7.63044,73.01937,20.09842150,1.440,731.2740000
"K2-191 b",1,1,0,49.16582,316.08925,2.85800000,,287.1880000
"Kepler-1138 b",1,1,0,18.00509,78.63308,,1.475,872.3280000
