pl_name,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,glat,glon,pl_orbper,pl_rade,sy_dist,pl_eqt,pl_orbeccen
"Kepler-140 c","Transit",2014,"Kepler",1,2,16.51644,77.51619,91.35328200,1.800,583.8590000,4.28000000000e+02,0.000000
"Kepler-1423 b","Transit",2016,"Kepler",1,1,13.70311,72.38905,23.95537800,1.060,449.0000000,7.41000000000e+02,0.000000
"Kepler-1188 b","Transit",2016,"Kepler",1,1,18.00328,72.83394,17.13695430,2.080,1717.4800000,7.75000000000e+02,0.000000
"Kepler-1324 b","Transit",2016,"Kepler",1,1,11.34565,72.61896,4.11584468,1.510,481.6670000,8.95000000000e+02,0.000000
"Kepler-1362 b","Transit",2016,"Kepler",1,1,13.40440,72.26499,136.20562600,2.600,731.2980000,2.48000000000e+02,0.000000
"Kepler-1369 b","Transit",2016,"Kepler",1,1,15.32601,71.46339,25.87314800,2.690,1236.5600000,6.67000000000e+02,0.000000
"Kepler-1378 b","Transit",2016,"Kepler",1,1,7.20309,74.90403,11.95398936,2.200,506.4340000,5.25000000000e+02,0.000000
"Kepler-1468 c","Transit",2016,"Kepler",1,2,10.20012,74.30564,3.54553021,1.150,1899.2400000,1.44800000000e+03,0.000000
"Kepler-1486 b","Transit",2016,"Kepler",1,1,13.93908,77.17571,54.64957590,2.320,1769.1400000,5.38000000000e+02,0.000000
"HATS-29 b","Transit",2016,"HATSouth",1,1,-23.14200,341.61040,4.60587490,14.022,353.8910000,1.21200000000e+03,0.158000
"HD 192310 c","Radial Velocity",2011,"La Silla Observatory",1,2,-29.40279,15.62553,525.80000000,5.250,8.7968700,1.85000000000e+02,0.320000
"HD 219134 c","Radial Velocity",2015,"Roque de los Muchachos Observatory",1,6,-3.20073,109.90724,6.76458000,1.511,6.5312700,7.82000000000e+02,0.062000
"HD 23472 c","Transit",2019,"Transiting Exoplanet Survey Satellite (TESS)",1,2,-44.84798,277.02690,29.62500000,2.149,39.0341000,6.13000000000e+02,0.000000
