pl_name,discoverymethod,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,disc_year
"HD 69830 b","Radial Velocity",1,3,0,12.82251,234.56776,8.66700000,3.170,2006
"HD 203030 b","Imaging",1,1,0,-16.11822,74.61404,,12.000,2006
"HD 62509 b","Radial Velocity",1,1,0,23.40613,192.22932,589.64000000,13.300,2006
"HD 187085 b","Radial Velocity",1,1,0,-27.12011,2.20149,1019.74000000,13.900,2006
"OGLE-TR-182 b","Transit",1,1,0,-0.63069,290.90669,3.97910000,12.666,2007
"BD-13 2130 b","Radial Velocity",1,1,0,3.53127,230.52055,714.29999000,12.500,2007
"HD 175541 b","Radial Velocity",1,1,0,1.00153,37.21115,298.43000000,14.100,2007
"HD 167042 b","Radial Velocity",1,1,0,27.54691,82.54900,420.77000000,13.500,2007
"WASP-1 b","Transit",2,1,0,-30.42933,115.36606,2.51994540,16.623,2007
"HD 171028 b","Radial Velocity",1,1,0,7.41135,36.96748,550.00000000,13.200,2007
"HAT-P-6 b","Transit",1,1,0,-18.43512,108.96346,3.85298000,16.589,2007
"HD 11506 b","Radial Velocity",1,2,0,-73.99475,187.75857,1622.10000000,12.900,2007
"HD 70573 b","Radial Velocity",1,1,0,21.11179,222.06599,851.80000000,12.800,2007
"11 Com b","Radial Velocity",2,1,0,78.28058,264.13775,326.03000000,12.100,2007
"V0391 Peg b","Pulsation Timing Variations",1,1,0,-23.02991,82.48580,1170.00000000,13.100,2007
"WASP-3 b","Transit",3,1,0,18.61112,64.17496,1.84683000,15.917,2007
"kap CrB b","Radial Velocity",1,1,0,51.04132,57.01463,1285.00000000,13.400,2007
"HD 125612 b","Radial Velocity",2,3,0,40.39538,331.38949,557.04000000,13.100,2007
"XO-2 N b","Transit",2,3,0,29.32831,168.28983,2.61586178,11.131,2007
"WASP-2 b","Transit",2,1,0,-18.71284,50.77372,2.15217500,12.117,2007
"WASP-4 b","Transit",1,1,0,-68.29575,344.49240,1.33823147,14.807,2007
"HD 155358 c","Radial Velocity",1,2,0,34.77496,56.28261,391.90000000,13.900,2007
"HD 156846 b","Radial Velocity",2,1,0,9.98244,5.03368,359.51001000,12.400,2007
"HD 196885 A b","Radial Velocity",2,1,0,-17.98547,56.30997,1333.00000000,13.200,2007
"HD 170469 b","Radial Velocity",2,1,0,10.19103,40.94007,1145.00000000,14.100,2007
"HD 17092 b","Radial Velocity",1,1,0,-9.07471,141.30331,359.89999000,12.500,2007
"HAT-P-3 b","Transit",2,1,0,66.69255,100.16678,2.89970000,10.536,2007
"HAT-P-5 b","Transit",1,1,0,22.14911,63.93673,2.78849000,13.563,2007
"CT Cha b","Imaging",1,1,0,-14.90929,296.65359,,24.660,2007
"HD 192699 b","Radial Velocity",1,1,0,-16.49300,47.13028,340.94000000,13.400,2007
"HD 219828 b","Radial Velocity",1,2,0,-39.01348,94.26579,3.83492000,4.850,2007
"HD 4113 b","Radial Velocity",3,1,0,-79.00849,311.46398,526.62000000,13.500,2007
"HD 43691 b","Radial Velocity",3,1,0,11.93271,172.64968,36.99870000,13.200,2007
"HD 5319 b","Radial Velocity",1,2,0,-62.06908,124.84560,637.10000000,13.500,2007
"Lupus-TR-3 b","Transit",1,1,0,10.95094,331.36717,3.91405000,9.976,2007
"TrES-3 b","Transit",1,1,0,27.28979,63.34033,1.30618581,14.975,2007
"HD 231701 b","Radial Velocity",1,1,0,-1.21527,52.17526,141.63000000,13.700,2007
"HD 81688 b","Radial Velocity",1,1,0,46.07492,174.22741,184.02000000,13.200,2007
"HD 132406 b","Radial Velocity",1,1,0,55.01079,90.14771,974.00000000,12.800,2007
"HD 221287 b","Radial Velocity",1,1,0,-55.90336,321.70190,456.10000000,13.100,2007
"GJ 317 b","Radial Velocity",1,2,0,11.19034,246.79531,695.66000000,13.300,2007
"GJ 581 c","Radial Velocity",1,3,0,40.02208,354.07234,12.91400000,2.210,2007
"HD 100777 b","Radial Velocity",1,1,0,53.25718,270.28510,383.70001000,13.800,2007
"XO-3 b","Transit",1,1,0,5.62845,148.09714,3.19154000,15.805,2007
"xi Aql b","Radial Velocity",1,1,0,-9.85535,47.81277,136.75000000,13.200,2007
"HAT-P-4 b","Transit",2,1,0,57.33630,58.47975,3.05653600,14.280,2007
"OGLE-TR-211 b","Transit",1,1,0,-3.34519,288.39931,3.67724000,15.244,2007
"HD 17156 b","Radial Velocity",1,1,0,10.99370,131.99027,21.21663000,12.330,2007
"HAT-P-2 b","Transit",1,1,0,45.23230,65.02085,5.63351580,10.660,2007
"HD 155358 b","Radial Velocity",1,2,0,34.77496,56.28261,194.30000000,13.800,2007
"HD 75898 b","Radial Velocity",1,1,0,38.93599,190.96998,422.90000000,13.200,2007
"GJ 674 b","Radial Velocity",1,1,0,-6.78174,343.00208,4.69380000,3.330,2007
"HD 190647 b","Radial Velocity",1,1,0,-30.03255,5.66045,1176.45000000,13.400,2007
"HD 210702 b","Radial Velocity",1,1,0,-32.02111,76.29345,354.10000000,13.400,2007
"55 Cnc f","Radial Velocity",2,5,0,37.69663,196.79526,259.88000000,7.590,2007
"TrES-4 b","Transit",2,1,0,26.99350,63.03882,3.55395000,18.046,2007
"HD 102272 b","Radial Velocity",1,1,0,70.02217,250.29360,127.58000000,12.900,2008
"BD-17 63 b","Radial Velocity",1,1,0,-77.87825,95.83026,655.60000000,12.800,2008
"HD 139357 b","Radial Velocity",1,1,0,49.84741,86.15965,1125.70000000,12.500,2008
"14 And b","Radial Velocity",1,1,0,-21.05141,106.41269,185.84000000,12.900,2008
"USco CTIO 108 b","Imaging",1,1,0,24.53881,354.46972,,12.300,2008
"GJ 832 b","Radial Velocity",1,2,0,-46.34872,349.16814,3657.00000000,14.000,2008
"HD 60532 c","Radial Velocity",1,2,0,-1.18976,237.49768,600.10000000,13.300,2008
"18 Del b","Radial Velocity",2,1,0,-21.97480,58.69121,993.30000000,12.500,2008
"1RXS J160929.1-210524 b","Imaging",1,1,0,22.03031,352.89050,,18.647,2008
"HD 131664 b","Radial Velocity",1,1,0,-12.92984,311.83792,1951.00000000,12.100,2008
"HD 45652 b","Radial Velocity",1,1,0,0.11002,200.68451,44.07300000,14.300,2008
